pack_v_max,pack_v_ptp,pack_v_kurtosis,pack_v_skew,pack_v_meandiff,pack_p_ptp,pack_p_kurtosis,pack_p_skew,pack_p_meandiff,dqdv_peak_05,dqdv_05_ptp,dqdv_peak_10,dqdv_10_ptp,window_range,window_range_idx,window_median,order_id,rated_energy,rated_voltage,rated_capacity,soh
121.4657,0.0619999999999976,,,0.0002073578595317,7.970400000000154,-1.8164831776468484,-0.053702606749893,0.0165892976588673,6.644777583333333,0.0,6.644777583333333,0.0,time_180_190,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.5277,0.0619999999999976,,,0.0002073578595317,7.971999999999753,-0.8080831913003315,0.9445769405938634,0.0140692307692329,6.644743138888888,0.0,6.644743138888888,0.0,time_190_200,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.5897,0.1239999999999952,,,0.0,10.672999999998863,8.63921149980252,0.6271895759272571,0.0,6.64478275,0.0,6.64478275,0.0,time_200_210,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.6517,0.1240000000000094,4.672120097758696,-0.2177972376479967,0.0004147157190635,12.934499999999389,3.744595679329011,-0.2116643441450347,0.0331789297658868,6.6447706944444445,0.0,6.6447706944444445,0.0,time_210_220,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.7137,0.1240000000000094,,,0.0002073578595317,12.181799999998477,-0.1880937408009648,0.0611141451268007,0.0191100334448182,6.644753472222222,0.0,6.644753472222222,0.0,time_220_230,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.8377,0.1239999999999952,,,0.0004147157190635,12.939099999999598,-0.8686625253185465,0.3620195804731452,0.0256016722408072,6.6447551944444445,0.0,6.6447551944444445,0.0,time_230_240,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.9618,0.1240999999999985,-1.3127868369721294,0.2387913188086442,0.000579906542056,12.195599999999104,-1.2517247768892257,0.2063063149770937,0.0499299065420537,4.755799611111112,0.0,4.755799611111112,0.0,time_240_250,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
118.1795,0.2480000000000046,-0.295421427061262,-0.0572930677472456,0.0006220735785953,21.305200000000696,-0.3121027737807509,,0.047321404682276,6.644786194444444,0.0,6.644786194444444,0.0,time_30_40,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
118.4275,0.309999999999988,-0.849436579078382,0.1888746420371404,0.0006220735785952,27.000299999999697,-0.8480250167510417,0.1634326734704906,0.0497682274247542,6.644772416666667,0.0,6.644772416666667,0.0,time_40_50,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
118.8616,0.4960999999999984,-1.1764620778104844,0.1440307467671039,0.0014518394648829,41.160399999998845,-1.186175721973268,0.1476080703719479,0.1136956521739157,6.644751749999999,0.0,6.644751749999999,0.0,time_50_60,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
119.4196,0.5580000000000069,-1.1550595648164683,0.0307629386777663,0.0018662207357859,45.3828999999987,-1.1512331729755214,0.0308379145170784,0.1517822742474872,6.155866083333333,5.666958027777778,6.644774138888889,0.0,time_60_70,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
119.9156,0.5579999999999927,-1.0891347106496418,-0.095004994108382,0.0016588628762541,44.64199999999983,-1.0899226052691793,-0.0883182031413639,0.132715050167225,6.644727638888888,0.0,6.644727638888888,0.0,time_70_80,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
120.2876,0.4339999999999975,-0.9683747449154176,-0.0482602867479169,0.0012441471571906,35.464099999999235,-0.9564468252388254,-0.0650000436527973,0.094548494983279,6.644748305555556,0.0,6.644748305555556,0.0,time_80_90,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
120.6597,0.4960999999999984,-0.925566841292088,-0.0878751214360389,0.0012444816053511,40.4343000000008,-0.9242543955066592,-0.0855516216971205,0.1045484949832783,6.6447551944444445,0.0,6.6447551944444445,0.0,time_90_100,0.0,1,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
116.1334,11.594799999999992,-0.6528950469103978,-0.5755531670837717,0.0120278008298755,581.8280000000004,-0.653569660988552,-0.5749546886531428,0.6035560165975108,1.2918268333333331,1.236264388888889,2.5280671111111115,2.500284166666667,energy_0_10,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
119.1096,1.3020999999999958,-1.0325600449297,0.4676929284520689,0.0010974336283185,94.09660000000076,-1.030476844533876,0.4676412061280993,0.0781238938053087,12.368227777777776,10.326309083333332,19.291306888888887,16.60763833333333,energy_10_20,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
119.9776,0.9299999999999926,-1.1206542537452702,-0.1692546743064271,0.0012438271604938,65.10810000000129,-1.1115511633635229,-0.1782243682726529,0.0870787037037032,6.961979722222222,1.322408944444445,12.601550499999998,0.0,energy_20_30,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.3417,0.6200000000000045,,,0.0006138613861386,54.954099999999016,-0.9394205994991852,-0.4267153002504785,0.050526402640264,14.52198897222222,7.579783666666667,21.46419427777777,0.0,energy_30_40,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.4037,0.1239999999999952,,,0.0001368653421633,12.797699999999168,-0.8605593128870539,-0.1219037984444743,0.0099710816777033,21.393284,0.0,21.393284,0.0,energy_40_50,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.7137,0.2480000000000046,,,0.0002740331491712,23.342899999999645,-0.7564714589484214,0.0705028904961542,0.0232948066298341,21.36973280555555,0.0,21.36973280555555,0.0,energy_60_70,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.9618,0.3100999999999914,,,0.0004210407239818,27.871000000001004,-0.737570177003056,-0.0178452895403684,0.0323680995475135,10.43690697222222,0.0,10.43690697222222,0.0,energy_70_80,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
110.801,6.2624,-0.7395726345561164,-0.499818961132382,0.0209444816053511,314.4540999999999,-0.7363094632932214,-0.5015582346062494,1.051685953177257,0.6945116111111111,0.6389491666666667,1.0695563888888886,0.8750826666666663,time_0_10,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
113.7152,2.914199999999994,-1.1664079378837569,-0.1462506145368368,0.0097464882943143,147.8068000000003,-1.1656641769497502,-0.1462672859528607,0.4896217391304369,0.9445546666666668,0.7084125555555556,1.5696252777777782,0.3194943888888892,time_10_20,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
115.6994,1.9842000000000013,-1.1979225723529423,-0.1192204989609486,0.0066361204013377,100.65809999999964,-1.1849099777663723,-0.1186777333132434,0.3318468227424754,1.2501188333333335,0.402777777777778,2.125248,0.0972187777777775,time_20_30,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
116.1334,0.4339999999999975,-0.982396376989596,-0.0967557734446179,0.0067812499999999,22.42360000000008,,-0.1016093870340875,0.3503687500000012,0.8889922222222223,0.0,0.8889922222222223,0.0,time_30_40,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
117.9315,0.3719999999999999,,-0.5213182007288433,0.0010367892976588,27.50540000000001,,-0.462178043668187,0.0676936454849518,5.814606305555556,0.0,5.814606305555556,0.0,time_40_50,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
118.1175,0.3100000000000023,-0.3876953124997859,-0.1795388311610593,0.0006220735785952,23.167199999999863,-0.4115234223915096,-0.1393122450981261,0.0435505016722409,5.814618361111111,0.0,5.814618361111111,0.0,time_50_60,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
118.4275,0.4339999999999975,-0.651064974549155,0.0090356106315074,0.0008294314381271,31.11659999999938,-0.640036781225013,,0.060519732441472,5.8146269722222215,0.0,5.8146269722222215,0.0,time_60_70,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
118.8616,0.558099999999996,-0.952310275708554,-0.0417638833050854,0.0016591973244147,39.80659999999989,-0.9617703791343586,-0.0474994835084628,0.116147826086955,5.5034634166666665,5.1923205277777775,5.814606305555556,0.0,time_70_80,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
119.2956,0.558099999999996,-1.0190407510057236,-0.0559521991647435,0.0016588628762541,41.288399999999456,-1.0037004857802387,-0.0381578918629136,0.113669899665548,5.814592527777778,0.0,5.814592527777778,0.0,time_80_90,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
119.7296,0.4960000000000093,-0.8694994556035955,-0.1303463204251615,0.0014515050167224,36.20750000000044,-0.8503578137344237,-0.1266637135386244,0.1016180602006675,5.814640750000001,0.0,5.814640750000001,0.0,time_90_100,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
119.9776,0.3719999999999999,-0.7890556812257463,-0.2389158459778074,0.0008266666666666,26.04330000000118,-0.7815586350277393,-0.2105773261398086,0.0578737777777779,4.375519638888889,0.0,4.375519638888889,0.0,time_100_110,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
120.7217,0.4341000000000008,-1.098474123845007,-0.0374584917870046,0.0012444816053511,38.39580000000024,-1.104484691716671,-0.0305339816852844,0.1082872909698979,7.060305694444444,0.0,7.060305694444444,0.0,time_110_120,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.0317,0.3719999999999999,-0.8013611171036024,-0.2979382943691597,0.0012441471571906,31.622800000001007,-0.7976281108625018,-0.3111563399704599,0.1057618729097023,7.060297166666666,0.0,7.060297166666666,0.0,time_120_130,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.2177,0.2479999999999904,-0.9660886361059178,-0.1188402676650302,0.0006220735785952,22.583199999999124,-0.9518140203693748,-0.1219905169331346,0.052880936454845,7.060274583333332,0.0,7.060274583333332,0.0,time_130_140,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
121.3417,0.186000000000007,,,0.0004147157190635,16.562199999998484,-0.7216197135724309,0.1160522286294746,0.0302157190635443,7.060283333333333,0.0,7.060283333333333,0.0,time_140_150,0.0,0,02 0746-271Ah - toXY.xlsx,26.016,96.0,271,0.6908
