pack_v_max,pack_v_ptp,pack_v_kurtosis,pack_v_skew,pack_v_meandiff,pack_p_ptp,pack_p_kurtosis,pack_p_skew,pack_p_meandiff,dqdv_peak_05,dqdv_05_ptp,dqdv_peak_10,dqdv_10_ptp,window_range,window_range_idx,window_median,order_id,rated_energy,rated_voltage,rated_capacity,y_t
118.7996,1.3640999999999934,,,0.0008215141955835936,70.42420000000038,-1.1520515215408966,0.40733049699595864,0.040626056782334656,12.128060388888892,9.155123444444447,18.226777500000004,14.434213555555559,energy_10_20,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.1636,1.3640000000000043,,,0.00087100893997446,69.70730000000003,-1.1023956386548637,-0.10081932130108635,0.04356123882503157,9.530138944444447,4.264932555555557,15.295397000000003,8.835436166666668,energy_20_30,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.7837,0.6200999999999937,,,0.0003992916934964544,34.0005000000001,-1.0908859792476926,-0.3287076095902506,0.01996954282034786,14.82312655555556,8.071469777777779,21.57478333333334,0.0,energy_30_40,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.9077,0.12400000000000944,,,4.28176795580094e-05,9.198599999999715,0.0773062910220359,-0.22523527360681775,0.0026591160220996294,20.116064222222228,0.0,20.116064222222228,0.0,energy_40_50,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
112.2271,4.898299999999992,-0.8138607327191467,-0.44972136995341155,0.016382274247491613,244.97569999999996,-0.8138394508120506,-0.4481508574594561,0.8193167224080267,0.7085227777777778,0.5557071111111112,1.2225253333333337,0.8613229444444448,time_0_10,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
114.7073,2.4802000000000106,-1.1645071288909623,-0.12235915173756827,0.008294983277592009,124.04079999999976,-1.165861955580478,-0.12442510908842484,0.4148521739130427,1.0141455000000004,0.45845388888888916,1.833801777777778,1.0697303333333337,time_10_20,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
116.5674,1.8601000000000028,-1.1787621144943208,-0.11068500864941948,0.00601371237458191,94.45030000000042,-1.1777655246674943,-0.10821196970470238,0.3007602006688973,1.3475580555555562,0.8474340555555562,2.1394090000000006,0.1250206666666669,time_20_30,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
117.3735,0.8681000000000125,-0.91561668789898,-0.5916288337489275,0.002903344481605393,44.8715000000002,-0.9299829461060005,-0.5899499607171832,0.14033612040133825,2.4450765000000008,0.7363195000000002,4.153833500000001,0.0,time_30_40,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
117.4975,0.18600000000000705,-0.3912424550150133,-0.11567322602178494,0.00020735785953176458,10.030499999999847,,-0.17558399085148735,0.007935451505016372,4.1537956111111125,0.0,4.1537956111111125,0.0,time_40_50,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
117.5595,0.12399999999999523,-0.9363528467752,0.1042968669635779,0.00041471571906352917,9.115600000000086,-0.8384534069878553,0.09175465760735617,0.01586989966555215,4.15382488888889,0.0,4.15382488888889,0.0,time_50_60,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
117.7455,0.18600000000000705,,,0.00041471571906352917,10.759900000000016,-0.9320366812673129,0.16075942998605258,0.018302006688964412,4.153804222222224,0.0,4.153804222222224,0.0,time_60_70,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
117.9315,0.24800000000000466,-0.8105279774740128,0.0782121535846928,0.0008294314381271059,15.324799999999414,-0.836307721651961,0.08164206682148854,0.04148193979932956,4.153845555555557,0.0,4.153845555555557,0.0,time_70_80,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
118.2415,0.3100000000000023,-1.0457227853095754,0.0855278434852709,0.0010367892976588704,17.699500000000626,-1.0427561222759005,0.07821063897362908,0.05430033444816181,4.15380938888889,0.0,4.15380938888889,0.0,time_80_90,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
118.5515,0.3100000000000023,-1.2148687416783832,-0.057850569268301656,0.0010367892976588704,18.440200000000004,-1.1641671303872954,-0.051062146828186536,0.04939130434782618,4.153769777777779,0.0,4.153769777777779,0.0,time_90_100,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
118.9236,0.372099999999989,-1.1582796521347327,0.07955871059778417,0.0010371237458193692,20.084499999999935,-1.1189330072194474,0.10380284325391846,0.04694916387959887,4.153804222222224,0.0,4.153804222222224,0.0,time_100_110,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
119.2336,0.3100000000000023,-1.0145062826172284,-0.008155596914873461,0.0010367892976588704,18.457099999999627,-0.948242486453311,-0.008822744600625711,0.04938494983277533,4.153757722222223,0.0,4.153757722222223,0.0,time_110_120,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
119.4816,0.24800000000000466,-1.0382216188814901,0.08265417191201438,0.0008294314381271059,14.62249999999949,-1.0458940358478905,0.05396716378328197,0.04148193979932956,4.153785277777779,0.0,4.153785277777779,0.0,time_120_130,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
119.7296,0.24800000000000466,-0.9317692373193234,0.07976370773669586,0.0008294314381271059,15.369400000000496,-0.9218053211295674,0.053379386461974154,0.04148193979933261,4.153812833333335,0.0,4.153812833333335,0.0,time_130_140,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
119.9776,0.3100000000000023,-1.0396288147051254,0.13773885852791323,0.0008294314381270583,15.50380000000041,-1.0244211682274496,0.09730301982647824,0.041481605351171395,4.153799055555557,0.0,4.153799055555557,0.0,time_140_150,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.1636,0.24800000000000466,-1.0671419366983035,-0.093366344460015,0.0006220735785953413,13.893399999999929,-1.0922011407599277,-0.054891506595611636,0.028617056856186245,4.1538214444444455,0.0,4.1538214444444455,0.0,time_150_160,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.3497,0.18609999999999616,,,0.00062240802675584,12.289799999999559,-0.5803185967319355,-0.10839302309600497,0.02864046822742239,4.153781833333334,0.0,4.153781833333334,0.0,time_160_170,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.5357,0.18600000000000705,-0.8400793795489956,-0.18941984894500835,0.00041471571906352917,10.794499999999971,-0.7712219512720031,-0.17775863462668187,0.0257314381270927,4.15382488888889,0.0,4.15382488888889,0.0,time_170_180,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
120.6597,0.18600000000000705,-0.18255906609038508,0.059198164057776226,0.0006220735785953413,12.292499999999563,,,0.031111371237456113,4.1538214444444455,0.0,4.1538214444444455,0.0,time_180_190,0.0,0,04 0298-271Ah-toXY.xlsx,26.016000000000002,96.0,271,0.6943
